"source","target","weight"
"Bear","Helmet",1
"Bear","Jeremy",1
"Bear","Mascot",1
"Bear","Zzu",1
"Blondie","Boss",1
"Boss","Rambutan",1
"Helmet","Ralph",1
"Helmet","Totem",1
"King","Mascot",1
"King","Poodle",2
"Mascot","Helmet",1
"Mascot","Ralph",1
"Mascot","Scruffy",1
"Poodle","Jeremy",1
"Rambutan","Scruffy",1
"Romeo","Bear",1
"Scruffy","Boss",2
"Scruffy","Ralph",1
"Scruffy","Uncle",2
"Totem","Helmet",1
"Totem","Poodle",1
"Totem","Ralph",2
"Totem","Uncle",1
"Uncle","Poodle",1
"Uncle","Ralph",2
"Uncle","Scruffy",2
"Uncle","Totem",2
"Zzu","Bear",1
"Zzu","King",1
"Zzu","Poodle",1
